Team,W,L,W/L%,NRtg,NRtg_norm
Utah Jazz,52.0,20.0,0.722,9.3,1.87530589669486
Los Angeles Clippers,47.0,25.0,0.653,6.4,1.2905330901986134
Phoenix Suns,51.0,21.0,0.708,5.9,1.1897101925268467
Milwaukee Bucks,46.0,26.0,0.639,5.8,1.1695456129924933
Philadelphia 76ers,49.0,23.0,0.681,5.6,1.1292164539237866
Denver Nuggets,47.0,25.0,0.653,5.0,1.0082289767176666
Brooklyn Nets,48.0,24.0,0.667,4.5,0.9074060790459
Los Angeles Lakers,42.0,30.0,0.583,2.8,0.5646082269618933
Dallas Mavericks,42.0,30.0,0.583,2.4,0.48394990882447997
New York Knicks,41.0,31.0,0.569,2.4,0.48394990882447997
Atlanta Hawks,41.0,31.0,0.569,2.4,0.48394990882447997
Portland Trail Blazers,42.0,30.0,0.583,1.8,0.36296243161836
Boston Celtics,36.0,36.0,0.5,1.5,0.3024686930153
Golden State Warriors,39.0,33.0,0.542,1.0,0.20164579534353333
Memphis Grizzlies,38.0,34.0,0.528,1.0,0.20164579534353333
Miami Heat,40.0,32.0,0.556,0.0,0.0
Indiana Pacers,34.0,38.0,0.472,0.0,0.0
New Orleans Pelicans,31.0,41.0,0.431,-0.3,-0.060493738603059996
Toronto Raptors,27.0,45.0,0.375,-0.5,-0.10082289767176666
Chicago Bulls,31.0,41.0,0.431,-0.9,-0.18148121580918
San Antonio Spurs,33.0,39.0,0.458,-1.8,-0.36296243161836
Washington Wizards,34.0,38.0,0.472,-1.8,-0.36296243161836
Charlotte Hornets,33.0,39.0,0.458,-1.9,-0.3831270111527133
Sacramento Kings,31.0,41.0,0.431,-3.6,-0.72592486323672
Detroit Pistons,20.0,52.0,0.278,-4.5,-0.9074060790459
Minnesota Timberwolves,23.0,49.0,0.319,-5.5,-1.1090518743894333
Houston Rockets,17.0,55.0,0.236,-7.8,-1.57283720367956
Cleveland Cavaliers,22.0,50.0,0.306,-8.6,-1.7341538399543865
Orlando Magic,21.0,51.0,0.292,-9.4,-1.8954704762292132
Oklahoma City Thunder,22.0,50.0,0.306,-10.5,-2.1172808511071
League Average,,,,,
